Gene name,GO term accession,GO domain
ALDH1A3,GO:0060166,biological_process
ALDH1A3,GO:0060324,biological_process
ALDH1A3,GO:0070384,biological_process
ALDH1A3,GO:0005829,cellular_component
ALDH1A3,GO:0070062,cellular_component
ALDH1A3,GO:0051289,biological_process
ALDH1A3,GO:0001758,molecular_function
ALDH1A3,GO:0042574,biological_process
ALDH1A3,,
APCS,GO:0005615,cellular_component
APCS,GO:0005634,cellular_component
APCS,GO:0005576,cellular_component
APCS,GO:0046872,molecular_function
APCS,GO:0030246,molecular_function
APCS,GO:0005515,molecular_function
APCS,GO:0042802,molecular_function
APCS,GO:0045087,biological_process
APCS,GO:0070062,cellular_component
APCS,GO:0072562,cellular_component
APCS,GO:0062023,cellular_component
APCS,GO:0051082,molecular_function
APCS,GO:0061045,biological_process
APCS,GO:0005509,molecular_function
APCS,GO:0006457,biological_process
APCS,GO:0002674,biological_process
APCS,GO:0046597,biological_process
APCS,GO:0001849,molecular_function
APCS,GO:0046790,molecular_function
APCS,GO:0006953,biological_process
APCS,GO:0044869,biological_process
APCS,GO:0044871,biological_process
APCS,GO:0045656,biological_process
APCS,GO:0048525,biological_process
APCS,GO:0051131,biological_process
APCS,GO:1903016,biological_process
APCS,GO:1903019,biological_process
ATG16L1,GO:0000045,biological_process
ATG16L1,GO:0006807,biological_process
ATG16L1,GO:0043170,biological_process
ATG16L1,GO:0044238,biological_process
ATG16L1,GO:0005515,molecular_function
ATG16L1,GO:0005737,cellular_component
ATG16L1,GO:0016020,cellular_component
ATG16L1,GO:0015031,biological_process
ATG16L1,GO:0005768,cellular_component
ATG16L1,GO:0005764,cellular_component
ATG16L1,GO:0005765,cellular_component
ATG16L1,GO:0010008,cellular_component
ATG16L1,GO:0006914,biological_process
ATG16L1,GO:0005776,cellular_component
ATG16L1,GO:0034045,cellular_component
ATG16L1,GO:0005930,cellular_component
ATG16L1,GO:0042802,molecular_function
ATG16L1,GO:0000421,cellular_component
ATG16L1,GO:0016236,biological_process
ATG16L1,GO:0005829,cellular_component
ATG16L1,GO:0097225,cellular_component
ATG16L1,GO:0043495,molecular_function
ATG16L1,GO:0051020,molecular_function
ATG16L1,GO:0034274,cellular_component
ATG16L1,GO:0019787,molecular_function
ATG16L1,GO:0006501,biological_process
ATG16L1,GO:0016237,biological_process
ATG16L1,GO:0039689,biological_process
ATG16L1,GO:0036020,cellular_component
ATG16L1,GO:0120095,cellular_component
ATG16L1,,
ATG16L1,GO:0010508,biological_process
ATG16L1,GO:0021766,biological_process
ATG16L1,GO:0022038,biological_process
ATG16L1,GO:0034497,biological_process
ATG16L1,GO:0051607,biological_process
ATG16L1,GO:0098792,biological_process
ATN1,GO:0005634,cellular_component
ATN1,GO:0005737,cellular_component
ATN1,GO:0005654,cellular_component
ATN1,GO:0000122,biological_process
ATN1,GO:0070161,cellular_component
ATN1,GO:0045893,biological_process
ATN1,GO:0005515,molecular_function
ATN1,GO:0048471,cellular_component
ATN1,GO:0016363,cellular_component
ATN1,GO:0003714,molecular_function
ATN1,GO:0019904,molecular_function
ATN1,GO:0007417,biological_process
ATN1,GO:0051402,biological_process
ATN1,GO:0003713,molecular_function
ATN1,GO:0001906,biological_process
ATN1,GO:0007283,biological_process
ATN1,GO:0008340,biological_process
ATN1,GO:0008584,biological_process
ATN1,GO:0009791,biological_process
ATN1,GO:0016477,biological_process
ATN1,GO:0030011,biological_process
ATN1,GO:0032094,biological_process
ATN1,GO:0035264,biological_process
ATN1,,
BCAS1,,
BCAS1,GO:0005737,cellular_component
BCAS1,GO:0070062,cellular_component
BCAS1,GO:0042552,biological_process
BDH2,GO:0016491,molecular_function
BDH2,GO:0005737,cellular_component
BDH2,GO:0006629,biological_process
BDH2,GO:0005829,cellular_component
BDH2,GO:0005515,molecular_function
BDH2,GO:0016628,molecular_function
BDH2,GO:0070062,cellular_component
BDH2,GO:0030855,biological_process
BDH2,GO:0003858,molecular_function
BDH2,GO:0006880,biological_process
BDH2,GO:0016617,molecular_function
BDH2,GO:0051287,molecular_function
BDH2,GO:0006635,biological_process
BDH2,GO:0019290,biological_process
BDH2,GO:0042168,biological_process
BDH2,,
BDH2,GO:0008667,molecular_function
CADM3,GO:0016020,cellular_component
CADM3,GO:0005886,cellular_component
CADM3,GO:0007155,biological_process
CADM3,GO:0070161,cellular_component
CADM3,GO:0005515,molecular_function
CADM3,GO:0007156,biological_process
CADM3,GO:0042803,molecular_function
CADM3,GO:0007157,biological_process
CADM3,GO:0005911,cellular_component
CADM3,,
CAPN2,GO:0006508,biological_process
CAPN2,GO:0005509,molecular_function
CAPN2,GO:0004198,molecular_function
CAPN2,GO:0005737,cellular_component
CAPN2,GO:0016020,cellular_component
CAPN2,GO:0046872,molecular_function
CAPN2,GO:0005829,cellular_component
CAPN2,GO:0005886,cellular_component
CAPN2,GO:0008233,molecular_function
CAPN2,GO:0008234,molecular_function
CAPN2,GO:0016787,molecular_function
CAPN2,GO:0005925,cellular_component
CAPN2,GO:0030425,cellular_component
CAPN2,GO:0005515,molecular_function
CAPN2,GO:0071230,biological_process
CAPN2,GO:0070062,cellular_component
CAPN2,GO:0005783,cellular_component
CAPN2,GO:0045121,cellular_component
CAPN2,GO:0005794,cellular_component
CAPN2,GO:0008092,molecular_function
CAPN2,GO:0110158,cellular_component
CAPN2,GO:0051603,biological_process
CAPN2,GO:0051493,biological_process
CAPN2,GO:0030864,cellular_component
CAPN2,GO:0031143,cellular_component
CAPN2,GO:0097038,cellular_component
CAPN2,GO:0019899,molecular_function
CAPN2,GO:0044877,molecular_function
CAPN2,GO:0001666,biological_process
CAPN2,GO:0001824,biological_process
CAPN2,GO:0007520,biological_process
CAPN2,GO:0007565,biological_process
CAPN2,GO:0009612,biological_process
CAPN2,GO:0010666,biological_process
CAPN2,GO:0016540,biological_process
CAPN2,GO:0030163,biological_process
CAPN2,GO:0032675,biological_process
CAPN2,GO:0035458,biological_process
CAPN2,GO:0042542,biological_process
CAPN2,GO:0048266,biological_process
CAPN2,GO:0071222,biological_process
CAPN2,GO:1901741,biological_process
CAPN2,GO:2001247,biological_process
CAPN2,GO:0005634,cellular_component
CAPN2,GO:0005764,cellular_component
CAPN2,GO:0009897,cellular_component
CAPN2,GO:0042995,cellular_component
CAPN2,GO:0043025,cellular_component
CAPN2,GO:0000785,cellular_component
CAPN2,,
CASP5,GO:0008234,molecular_function
CASP5,GO:0006508,biological_process
CASP5,GO:0004197,molecular_function
CASP5,GO:0042981,biological_process
CASP5,GO:0032991,cellular_component
CASP5,GO:0008233,molecular_function
CASP5,GO:0016787,molecular_function
CASP5,GO:0005737,cellular_component
CASP5,GO:0005515,molecular_function
CASP5,GO:0097194,biological_process
CASP5,GO:0005829,cellular_component
CASP5,GO:0071260,biological_process
CASP5,GO:0021762,biological_process
CASP5,GO:0006915,biological_process
CASP5,GO:0072558,cellular_component
CASP5,GO:0097200,molecular_function
CASP8,GO:0005515,molecular_function
CASP8,GO:0042981,biological_process
CASP8,GO:0006508,biological_process
CASP8,GO:0008234,molecular_function
CASP8,GO:0004197,molecular_function
CASP8,GO:0006915,biological_process
CASP8,GO:0005634,cellular_component
CASP8,GO:0005737,cellular_component
CASP8,GO:0110165,cellular_component
CASP8,GO:0032991,cellular_component
CASP8,GO:0005654,cellular_component
CASP8,GO:0005829,cellular_component
CASP8,GO:0008233,molecular_function
CASP8,GO:0016787,molecular_function
CASP8,GO:0043123,biological_process
CASP8,GO:0045088,biological_process
CASP8,GO:0001525,biological_process
CASP8,GO:0042802,molecular_function
CASP8,GO:0007507,biological_process
CASP8,GO:0001817,biological_process
CASP8,GO:0031625,molecular_function
