gene,BP,CC,MF
ANAPC2,"['GO:0030154', 'GO:0007389', 'GO:0016477', 'GO:0045595', 'GO:0045773', 'GO:0000226', 'GO:0016055', 'GO:0007399', 'GO:0007026']","['GO:0016342', 'GO:0005737', 'GO:0005794', 'GO:0005654', 'GO:0005829', 'GO:0048471', 'GO:0005874', 'GO:0005884', 'GO:0071944']","['GO:0008013', 'GO:0005515', 'GO:0045295', 'GO:0008017']"
ANGPTL2,"['GO:0007275', 'GO:0007267']","['GO:0005615', 'GO:0070062']","['GO:0005102', 'GO:0005515']"
ANK1,"['GO:0007165', 'GO:0051179']","['GO:0005886', 'GO:0042383', 'GO:0016323', 'GO:0016020', 'GO:0045211', 'GO:0043005', 'GO:0005829', 'GO:0005856', 'GO:0009898']","['GO:0005515', 'GO:0044325']"
ANXA2,"['GO:0045944', 'GO:0001525', 'GO:0070588', 'GO:0045921', 'GO:0001765']","['GO:0009986', 'GO:0045121', 'GO:0005615', 'GO:0005576', 'GO:0005886', 'GO:0070062', 'GO:0005737', 'GO:0042383', 'GO:0005912', 'GO:0016323', 'GO:0016020', 'GO:0042470', 'GO:0005634', 'GO:0005829', 'GO:0090575', 'GO:0005604', 'GO:0005769']","['GO:0005515', 'GO:0005509', 'GO:0002020', 'GO:0004867']"
ANXA6,"['GO:0006816', 'GO:0070588', 'GO:0034220', 'GO:0051179']","['GO:0005925', 'GO:0070062', 'GO:0005737', 'GO:0042383', 'GO:0016020', 'GO:0042470', 'GO:0048471']","['GO:0005515', 'GO:0005509', 'GO:0015276']"
APC,"['GO:0008285', 'GO:0007155', 'GO:0007389', 'GO:0016477', 'GO:0045595', 'GO:0032886', 'GO:0043065', 'GO:0030178', 'GO:0016055', 'GO:0006974', 'GO:0045736', 'GO:0007399', 'GO:0007026', 'GO:0030335', 'GO:1904781']","['GO:0016342', 'GO:0005886', 'GO:0005737', 'GO:0005912', 'GO:0005794', 'GO:0005654', 'GO:0005634', 'GO:0016328', 'GO:0005829', 'GO:0048471', 'GO:0005874', 'GO:0005881', 'GO:0032587', 'GO:0071944']","['GO:0008013', 'GO:0005515', 'GO:0019901', 'GO:0045295', 'GO:0051010', 'GO:0008017']"
APCS,['GO:0061045'],"['GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0005634']","['GO:0005515', 'GO:0005509']"
ARL3,"['GO:0007224', 'GO:0001822']","['GO:0070062', 'GO:0005737', 'GO:0005794', 'GO:0005654', 'GO:0005634', 'GO:0005881']","['GO:0005515', 'GO:0008017']"
ATP2B4,"['GO:0098703', 'GO:0006874', 'GO:0006357', 'GO:0070588', 'GO:0097553', 'GO:1902548', 'GO:0034220', 'GO:1901660']","['GO:0045121', 'GO:0005887', 'GO:0005886', 'GO:0016323', 'GO:0005901', 'GO:0016020', 'GO:0043005', 'GO:0098978']","['GO:0097110', 'GO:0005515', 'GO:0019901']"
BCAS3,"['GO:0045944', 'GO:0001525', 'GO:0043627', 'GO:0007267', 'GO:0051895', 'GO:0071391', 'GO:0032956', 'GO:0010595']","['GO:0005737', 'GO:0005634', 'GO:0005881', 'GO:0031252']","['GO:0005515', 'GO:0003682']"
